"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1829","Add Item to Cart from Product Page","Product and Cart functionality","Thu Jun 12 13:51:15 GMT+07:00 2025","passed","Thu Jun 12 13:51:17 GMT+07:00 2025","","","",""
"","1139","View Items in Shopping Cart","Product and Cart functionality","Thu Jun 12 13:51:18 GMT+07:00 2025","passed","Thu Jun 12 13:51:19 GMT+07:00 2025","","","",""
"","1250","Remove Item from Cart Page","Product and Cart functionality","Thu Jun 12 13:51:19 GMT+07:00 2025","passed","Thu Jun 12 13:51:21 GMT+07:00 2025","","","",""
"","996","Login with invalid password","Login Tests","Thu Jun 12 13:51:09 GMT+07:00 2025","passed","Thu Jun 12 13:51:10 GMT+07:00 2025","","","",""
"","875","Login with invalid username","Login Tests","Thu Jun 12 13:51:08 GMT+07:00 2025","passed","Thu Jun 12 13:51:09 GMT+07:00 2025","","","",""
"","1068","Remove Item from Cart on Product Page","Product and Cart functionality","Thu Jun 12 13:51:17 GMT+07:00 2025","passed","Thu Jun 12 13:51:18 GMT+07:00 2025","","","",""
"","2547","Valid Login","Login Tests","Thu Jun 12 13:51:06 GMT+07:00 2025","passed","Thu Jun 12 13:51:08 GMT+07:00 2025","","","",""
"","2157","Logout","Product and Cart functionality","Thu Jun 12 13:51:27 GMT+07:00 2025","passed","Thu Jun 12 13:51:29 GMT+07:00 2025","","","",""
"","6072","Checkout Process","Product and Cart functionality","Thu Jun 12 13:51:21 GMT+07:00 2025","failed","Thu Jun 12 13:51:27 GMT+07:00 2025","","","",""
"","564","Login with empty username","Login Tests","Thu Jun 12 13:51:10 GMT+07:00 2025","passed","Thu Jun 12 13:51:11 GMT+07:00 2025","","","",""
"","873","Login with Locked account","Login Tests","Thu Jun 12 13:51:11 GMT+07:00 2025","passed","Thu Jun 12 13:51:12 GMT+07:00 2025","","","",""
"","559","Login with empty password","Login Tests","Thu Jun 12 13:51:11 GMT+07:00 2025","passed","Thu Jun 12 13:51:11 GMT+07:00 2025","","","",""
